BiGG	formula	charge
5dhf	C39H43N11O18	-6.0
5dpmev	C6H10O10P2	-4.0
5drib	C5H10O4	0.0
5eipenc	C20H29O2	-1.0
5eipencoa	C41H60N7O17P3S	-4.0
5flura	C4H3FN2O2	0.0
5flurimp	C9H12FN2O9P	0.0
5forthf	C20H22N8O6	-2.0
5fthf	C20H21N7O7	-2.0
5g2oxpt	C6H11N3O3	0.0
5hbzid	C7H6N2O	0.0
5hiu	C5H4N4O4	0.0
5homeprazole	C17H19N3O4S	0.0
5houdic	C5H5N4O5	-1.0
5hoxindact	C10H9NO2	0.0
5hoxindoa	C10H8NO3	-1.0
5hoxnfkyn	C11H12N2O5	0.0
5htrp	C11H12N2O3	0.0
5hxkyn	C10H12N2O4	0.0
5hxkynam	C9H13N2O2	1.0
5mcsn	C5H7N3O	0.0
5mdr1p	C6H11O7PS	-2.0
5mdru1p	C6H11O7PS	-2.0
5moxact	C11H11NO3	0.0
5mta	C11H15N5O3S	0.0
5mthf	C20H24N7O6	-1.0
5mtr	C6H12O4S	0.0
5odhf2a	C6H5O4	-1.0
5ohfvs	C24H25FNNaO5	0.0
5ohfvsglu	C30H33FNNaO11	0.0
5ohhexa	C6H12O3	0.0
5oxpro	C5H6NO3	-1.0
5pg35pg	C20H23N10O15P2	-3.0
5pmev	C6H10O7P	-3.0
5prdmbz	C14H17N2O7P	-2.0
5tedtricoa	C35H52N7O17P3S	-4.0
5thf	C39H45N11O18	-6.0
6a2ohxnt	C6H11NO3	0.0
6ampenc	C8H12N2O3S	0.0
6apa	C8H12N2O3S	0.0
6ax	C6H13NO2	0.0
6ax6ax	C12H24N2O3	0.0
6bhglz	C15H21N3O4S	0.0
6bhglzglc	C21H29N3O10S	0.0
6csmv	C25H36O7	0.0
6csmvacid	C25H38O8	0.0
6dhf	C44H49N12O21	-7.0
6hddopaqn	C9H11NO2	0.0
6hlvst	C24H36O6	0.0
6hlvstacid	C24H38O7	0.0
6hmhpt	C7H9N5O2	0.0
6hmhptpp	C7H8N5O8P2	-3.0
6hmsmv	C25H38O6	0.0
6hmsmvacid	C25H40O7	0.0
6hnac	C6H4NO3	-1.0
6hoxmelatn	C13H16N2O3	0.0
6hsmv	C25H38O6	0.0
6hsmvacid	C25H40O7	0.0
6htststerone	C19H28O3	0.0
6melvacid	C24H36O6	0.0
6melvst	C24H34O5	0.0
6mpur	C5H4N4S	0.0
6msmv	C25H36O5	0.0
6ohfvs	C24H25FNNaO5	0.0
6ohfvsglu	C30H33FNNaO11	0.0
6p2dhglcn	C6H8O10P	-3.0
6pgc	C6H10O10P	-3.0
6pgg	C12H23O14P	0.0
6pgl	C6H9O9P	-2.0
6pthp	C9H11N5O3	0.0
6tgsnmp	C10H14N5O7PS	0.0
6thf	C44H51N12O21	-7.0
6tins5mp	C10H11N4O7PS	-2.0
6txan5mp	C10H13N4O8PS	0.0
7bhglz	C15H21N3O4S	0.0
7bhglzglc	C21H29N3O10S	0.0
7dhchsterol	C27H44O	0.0
7dhf	C49H55N13O24	-8.0
7hpvs	C23H35NaO8	0.0
7klitchol	C24H37O4	-1.0
7mhp	C7H14O2S	0.0
7mht	C11H21NO4S	0.0
7ohocata	C8H15O3	-1.0
7ohp	C7H12O3	0.0
7thf	C49H57N13O24	-8.0
8aonn	C9H17NO3	0.0
ACP	H2S*	1.0
Ac1PIM1	C18H25O19P*	-1.0
Asn_X_Ser_Thr	C5H7N3O3*	0.0
B_ara1p	C5H9O8P	-2.0
C01041	C6H6O6	-1.0
C01241	C8H14NO8P*	0.0
C01507	C6H14O6	0.0
C01601	C9H17O2	-1.0
C01747	C24H48NO7	1.0
C01836	C78H121N21O20	0.0
C02147	C8H16O2S2	0.0
C02356	C4H9NO2	0.0
C02442	C9H14NO	1.0
C02470	C10H7NO4	0.0
C02528	C24H39O4	-1.0
C02712	C7H12NO3S	-1.0
C02744	C24H47NO10S	0.0
C03405	C31H55NO16S*	-1.0
C03413	C14H32N4O2	2.0
C03577	C23H36NO6S	-1.0
C03681	C21H32O2	0.0
C03693	C6H14O12P2	0.0
C03958	C16H22N6O4	0.0
C04051	C4H6N4O	0.0
C04295	C19H30O2	0.0
C04308	C9H16NO8P*	0.0
C04717	C18H31O4	-1.0
C04805	C20H31O3	-1.0
C04843	C20H34O5	0.0
C04849	C20H32O4	0.0
C05109	C30H52O	0.0
C05279	C33H54N7O17P3S	0.0
C05280	C33H54N7O17P3S	0.0
C05284	C19H26O3	0.0
C05298	C18H22O3	0.0
C05299	C19H24O3	0.0
C05300	C18H22O3	0.0
C05301	C18H24O3	0.0
C05302	C19H26O3	0.0
C05708	C5H11NO3Se	0.0
C05767	C40H38N4O16	0.0
C05769	C36H38N4O8	0.0
C05770	C36H34N4O8	-4.0
C05957	C20H29O4	-1.0
C06199	C10H15NO	0.0
C06314	C20H31O5	-1.0
C06315	C20H31O5	-1.0
