reaction	lb	ub
R_DHNPA2r	-1000	1000
R_DHNPTE	-1000	1000
R_DHORD2	0	1000
R_DHORD5	0	1000
R_DHORDfum	0	1000
R_DHORTS	-1000	1000
R_DHPPD	0	1000
R_DHPPDA2	0	1000
R_DHPS2	0	1000
R_DHPStex	-1000	1000
R_DHPStr	0	1000
R_DHPTDCs2	0	1000
R_DHPTDNR	0	1000
R_DHPTDNRN	0	1000
R_DHPTPE	-1000	1000
R_DHQS	0	1000
R_DHQTi	0	1000
R_DIMPtex	-1000	1000
R_DINSt2pp	0	1000
R_DINStex	-1000	1000
R_DKGLCNR1	0	1000
R_DKGLCNR2x	0	1000
R_DKGLCNR2y	0	1000
R_DMATT	0	1000
R_DMPPS	0	1000
R_DMQMT	0	1000
R_DMSOR1	0	1000
R_DMSOR1pp	0	1000
R_DMSOR2	0	1000
R_DMSOR2pp	0	1000
R_DMSOtex	-1000	1000
R_DMSOtpp	-1000	1000
R_DMStex	-1000	1000
R_DM_4crsol_c	0	1000
R_DM_5drib_c	0	1000
R_DM_aacald_c	0	1000
R_DM_amob_c	0	1000
R_DM_mththf_c	0	1000
R_DM_oxam_c	0	1000
R_DNMPPA	0	1000
R_DNTPPA	0	1000
R_DOGULNR	0	1000
R_DOPAtex	-1000	1000
R_DOXRBCNtex	-1000	1000
R_DOXRBCNtpp	0	1000
R_DPCOAK	0	1000
R_DPR	0	1000
R_DRPA	0	1000
R_DSBAO1	0	1000
R_DSBAO2	0	1000
R_DSBCGT	0	1000
R_DSBDR	0	1000
R_DSBGGT	0	1000
R_DSERDHr	-1000	1000
R_DSERt2pp	0	1000
R_DSERtex	-1000	1000
R_DTARTD	0	1000
R_DTMPK	-1000	1000
R_DTMPtex	-1000	1000
R_DUMPtex	-1000	1000
R_DURADx	-1000	1000
R_DURIK1	0	1000
R_DURIPP	-1000	1000
R_DURIt2pp	0	1000
R_DURItex	-1000	1000
R_DUTPDP	0	1000
R_DXPRIi	0	1000
R_DXPS	0	1000
R_DXYLK	0	1000
R_DXYLONtex	-1000	1000
R_DXYLONtpp	-1000	1000
R_DXYLTD	-1000	1000
R_D_LACt2pp	-1000	1000
R_D_LACtex	-1000	1000
R_E4PD	-1000	1000
R_E4PP	0	1000
R_EAR100x	0	1000
R_EAR100y	0	1000
R_EAR120x	0	1000
R_EAR120y	0	1000
R_EAR121x	0	1000
R_EAR121y	0	1000
R_EAR140x	0	1000
R_EAR140y	0	1000
R_EAR141x	0	1000
R_EAR141y	0	1000
